holiday,temp,rain,snow,weather,traffic_volume,day,month,year,hours,minutes,seconds
11,288.28,0.0,0.0,1,5545,02,10,2012,09,00,00
11,289.36,0.0,0.0,1,4516,02,10,2012,10,00,00
11,289.58,0.0,0.0,1,4767,02,10,2012,11,00,00
11,290.13,0.0,0.0,1,5026,02,10,2012,12,00,00
11,291.14,0.0,0.0,1,4918,02,10,2012,13,00,00
11,291.72,0.0,0.0,0,5181,02,10,2012,14,00,00
11,293.17,0.0,0.0,0,5584,02,10,2012,15,00,00
11,293.86,0.0,0.0,0,6015,02,10,2012,16,00,00
11,294.14,0.0,0.0,1,5791,02,10,2012,17,00,00
11,293.1,0.0,0.0,1,4770,02,10,2012,18,00,00
11,290.97,0.0,0.0,1,3539,02,10,2012,19,00,00
11,289.38,0.0,0.0,0,2784,02,10,2012,20,00,00
11,288.61,0.0,0.0,0,2361,02,10,2012,21,00,00
11,287.16,0.0,0.0,0,1529,02,10,2012,22,00,00
11,285.45,0.0,0.0,0,963,02,10,2012,23,00,00
11,284.63,0.0,0.0,0,506,03,10,2012,00,00,00
11,283.47,0.0,0.0,0,321,03,10,2012,01,00,00
11,281.18,0.0,0.0,0,273,03,10,2012,02,00,00
11,281.09,0.0,0.0,0,367,03,10,2012,03,00,00
11,279.53,0.0,0.0,0,814,03,10,2012,04,00,00
11,278.62,0.0,0.0,0,2718,03,10,2012,05,00,00
11,278.23,0.0,0.0,0,5673,03,10,2012,06,00,00
11,278.12,0.0,0.0,0,6511,03,10,2012,08,00,00
11,281.2053507092272,0.0,0.0,0,5471,03,10,2012,09,00,00
11,291.97,0.0,0.0,0,5097,03,10,2012,12,00,00
11,293.23,0.0,0.0,0,4887,03,10,2012,13,00,00
11,294.31,0.0,0.0,0,5337,03,10,2012,14,00,00
11,295.17,0.0,0.0,0,5692,03,10,2012,15,00,00
11,295.13,0.0,0.0,0,6137,03,10,2012,16,00,00
11,281.2053507092272,0.0,0.0,1,4623,03,10,2012,18,00,00
11,290.65,0.0,0.0,1,3591,03,10,2012,19,00,00
11,288.19,0.0,0.0,1,2898,03,10,2012,20,00,00
11,287.1,0.0,0.0,0,2637,03,10,2012,21,00,00
11,286.25,0.0,0.0,0,1777,03,10,2012,22,00,00
11,285.26,0.0,0.0,0,1015,03,10,2012,23,00,00
11,284.55,0.0,0.0,0,598,04,10,2012,00,00,00
11,283.47,0.0,0.0,0,369,04,10,2012,01,00,00
11,283.17,0.0,0.0,0,312,04,10,2012,02,00,00
11,282.04,0.0,0.0,0,367,04,10,2012,03,00,00
11,281.69,0.0,0.0,0,835,04,10,2012,04,00,00
11,281.32,0.0,0.0,0,2726,04,10,2012,05,00,00
11,280.74,0.0,0.0,0,5689,04,10,2012,06,00,00
11,280.57,0.0,0.0,0,6990,04,10,2012,07,00,00
11,281.2053507092272,0.0,0.0,0,5985,04,10,2012,08,00,00
11,284.98,0.0,0.0,0,5309,04,10,2012,09,00,00
11,289.18,0.0,0.0,0,4603,04,10,2012,10,00,00
11,291.55,0.0,0.0,0,4884,04,10,2012,11,00,00
11,294.97,0.0,0.0,0,5104,04,10,2012,12,00,00
11,296.38,0.0,0.0,0,5178,04,10,2012,13,00,00
11,297.32,0.0,0.0,0,5501,04,10,2012,14,00,00
11,298.17,0.0,0.0,0,5713,04,10,2012,15,00,00
11,298.06,0.0,0.0,1,6292,04,10,2012,16,00,00
11,297.67,0.0,0.0,1,6057,04,10,2012,17,00,00
11,296.36,0.0,0.0,1,4907,04,10,2012,18,00,00
11,293.85,0.0,0.0,1,3503,04,10,2012,19,00,00
11,292.43,0.0,0.0,1,3037,04,10,2012,20,00,00
11,291.77,0.0,0.0,1,2822,04,10,2012,21,00,00
11,281.2053507092272,0.0,0.0,1,1992,04,10,2012,22,00,00
11,291.12,0.0,0.0,1,1166,04,10,2012,23,00,00
11,290.63,0.0,0.0,1,627,05,10,2012,00,00,00
11,290.46,0.0,0.0,1,388,05,10,2012,01,00,00
11,289.26,0.0,0.0,0,368,05,10,2012,03,00,00
11,283.21,0.0,0.0,1,2489,05,10,2012,05,00,00
11,282.24,0.0,0.0,1,5537,05,10,2012,06,00,00
11,281.69,0.0,0.0,1,6628,05,10,2012,07,00,00
11,280.57,0.0,0.0,1,5534,05,10,2012,08,00,00
11,280.02,0.0,0.0,1,5403,05,10,2012,09,00,00
11,280.11,0.0,0.0,1,4770,05,10,2012,10,00,00
11,280.0,0.0,0.0,1,5217,05,10,2012,11,00,00
11,280.53,0.0,0.0,1,5870,05,10,2012,12,00,00
11,281.43,0.0,0.0,1,5967,05,10,2012,13,00,00
11,281.78,0.0,0.0,1,6108,05,10,2012,14,00,00
11,281.2053507092272,0.0,0.0,1,6128,05,10,2012,15,00,00
11,281.73,0.0,0.0,1,6069,05,10,2012,16,00,00
11,281.42,0.0,0.0,1,6169,05,10,2012,17,00,00
11,280.87,0.0,0.0,1,5384,05,10,2012,18,00,00
11,280.15,0.0,0.0,1,4063,05,10,2012,19,00,00
11,279.78,0.0,0.0,1,3364,05,10,2012,20,00,00
11,279.65,0.0,0.0,1,2971,05,10,2012,21,00,00
11,279.22,0.0,0.0,1,2450,05,10,2012,22,00,00
11,279.06,0.0,0.0,1,1832,05,10,2012,23,00,00
11,281.2053507092272,0.0,0.0,1,1231,06,10,2012,00,00,00
11,278.55,0.0,0.0,1,718,06,10,2012,01,00,00
11,278.59,0.0,0.0,1,545,06,10,2012,02,00,00
11,276.99,0.0,0.0,1,411,06,10,2012,04,00,00
11,276.35,0.0,0.0,1,688,06,10,2012,05,00,00
11,275.4,0.0,0.0,0,1352,06,10,2012,06,00,00
11,275.17,0.0,0.0,0,2072,06,10,2012,07,00,00
11,274.99,0.0,0.0,0,3342,06,10,2012,08,00,00
11,275.09,0.0,0.0,1,4258,06,10,2012,09,00,00
11,276.88,0.0,0.0,1,4861,06,10,2012,10,00,00
11,278.04,0.0,0.0,1,5191,06,10,2012,11,00,00
11,279.08,0.0,0.0,1,5669,06,10,2012,12,00,00
11,280.12,0.0,0.0,1,5074,06,10,2012,13,00,00
11,280.25,0.0,0.0,1,5025,06,10,2012,14,00,00
11,280.0,0.0,0.0,1,5153,06,10,2012,15,00,00
11,281.2053507092272,0.0,0.0,1,5024,06,10,2012,16,00,00
